Acessando Banco de Dados de Materiais ... :) 

Criando Conjunto de Dados ... :) 

Iteration 1, loss = 79020348137923536.00000000
Iteration 53, loss = 44689147025773720.00000000
Iteration 54, loss = 44613380235538104.00000000
Iteration 55, loss = 44542013691856872.00000000
Iteration 56, loss = 44474870056280864.00000000
Iteration 57, loss = 44412079719705288.00000000
Iteration 58, loss = 44360827434715024.00000000
Iteration 59, loss = 44287336885817208.00000000
Iteration 60, loss = 44224542107124200.00000000
Iteration 61, loss = 44158665041423504.00000000
Iteration 62, loss = 44104026971525128.00000000
Iteration 63, loss = 44048428875549928.00000000
Iteration 64, loss = 44005324604480456.00000000
Iteration 65, loss = 43931998242017280.00000000
Iteration 66, loss = 43882177758481336.00000000
Iteration 67, loss = 43819828640253024.00000000
Iteration 68, loss = 43772746368611000.00000000
Iteration 69, loss = 43707365517451600.00000000
Iteration 70, loss = 43667356789680936.00000000
Iteration 71, loss = 43613259898479496.00000000
Iteration 72, loss = 43565866479621024.00000000
Iteration 73, loss = 43509089215930632.00000000
Iteration 74, loss = 43462734959742080.00000000
Iteration 75, loss = 43416098175119568.00000000
Iteration 76, loss = 43362270310447456.00000000
Iteration 77, loss = 43318379725229472.00000000
Iteration 78, loss = 43262626799984912.00000000
Iteration 79, loss = 43223133019737224.00000000
Iteration 80, loss = 43187136546014040.00000000
Iteration 81, loss = 43126672441084688.00000000
Iteration 82, loss = 43092531420430992.00000000
Iteration 83, loss = 43051917289931552.00000000
Iteration 84, loss = 42996385582962992.00000000
Iteration 85, loss = 42942132146557984.00000000
Iteration 86, loss = 42919619716144248.00000000
Iteration 87, loss = 42862184368451832.00000000
Iteration 88, loss = 42813161743344176.00000000
Iteration 89, loss = 42781390233055448.00000000
Iteration 90, loss = 42751683600261392.00000000
Iteration 91, loss = 42698699365457072.00000000
Iteration 92, loss = 42668094713049776.00000000
Iteration 93, loss = 42620935556456960.00000000
Iteration 94, loss = 42564824692477344.00000000
Iteration 95, loss = 42535261297130408.00000000
Iteration 96, loss = 42484424748603608.00000000
Iteration 97, loss = 42447458824846288.00000000
Iteration 98, loss = 42395698958647176.00000000
Iteration 99, loss = 42353511022524232.00000000
Iteration 100, loss = 42314257982630656.00000000
Iteration 101, loss = 42271333078690216.00000000
Iteration 102, loss = 42224764187564216.00000000
Iteration 103, loss = 42192425380392472.00000000
Iteration 104, loss = 42173912133098704.00000000
Iteration 105, loss = 42107534054688728.00000000
Iteration 106, loss = 42093429685833288.00000000
Iteration 107, loss = 42052580875788152.00000000
Iteration 108, loss = 41988215971487328.00000000
Iteration 109, loss = 41935304217705792.00000000
Iteration 110, loss = 41896241392501520.00000000
Iteration 111, loss = 41852624267923736.00000000
Iteration 112, loss = 41814408945936840.00000000
Iteration 113, loss = 41768154326400184.00000000
Iteration 114, loss = 41728986993809600.00000000
Iteration 115, loss = 41707429735102512.00000000
Iteration 116, loss = 41660594504209184.00000000
Iteration 117, loss = 41606189731371352.00000000
Iteration 118, loss = 41567420521124864.00000000
Iteration 119, loss = 41518003021070304.00000000
Iteration 120, loss = 41488672039038336.00000000
Iteration 121, loss = 41456008810871440.00000000
Iteration 122, loss = 41405959836238336.00000000
Iteration 123, loss = 41381317194543152.00000000
Iteration 124, loss = 41332906789716928.00000000
Iteration 125, loss = 41282990801609352.00000000
Iteration 126, loss = 41234471139530920.00000000
Iteration 127, loss = 41197718960983056.00000000
Iteration 128, loss = 41153967185583976.00000000
Iteration 129, loss = 41115929626895480.00000000
Iteration 130, loss = 41071251964941192.00000000
Iteration 131, loss = 41034759171992760.00000000
Iteration 132, loss = 41001355771580328.00000000
Iteration 133, loss = 40941533040939504.00000000
Iteration 134, loss = 40909631607924736.00000000
Iteration 135, loss = 40867479157882192.00000000
Iteration 136, loss = 40839889933301912.00000000
Iteration 137, loss = 40781770053635312.00000000
Iteration 138, loss = 40741599850283608.00000000
Iteration 139, loss = 40693576461892456.00000000
Iteration 140, loss = 40648442753563184.00000000
Iteration 141, loss = 40628217344199632.00000000
Iteration 142, loss = 40590618210139632.00000000
Iteration 143, loss = 40537101415036816.00000000
Iteration 144, loss = 40496999188299336.00000000
Iteration 145, loss = 40471388935004984.00000000
Iteration 146, loss = 40414012353482368.00000000
Iteration 147, loss = 40373779664013688.00000000
Iteration 148, loss = 40319697927477784.00000000
Iteration 149, loss = 40272811019651320.00000000
Iteration 150, loss = 40239605211790056.00000000
Iteration 151, loss = 40201967199392368.00000000
Iteration 152, loss = 40158468867818504.00000000
Iteration 153, loss = 40116593771294184.00000000
Iteration 154, loss = 40077448945052840.00000000
Iteration 155, loss = 40020946687730232.00000000
Iteration 156, loss = 39990069855789744.00000000
Iteration 157, loss = 39944141121986608.00000000
Iteration 158, loss = 39893618959344712.00000000
Iteration 159, loss = 39845429082980664.00000000
Iteration 160, loss = 39847314430411120.00000000
Iteration 161, loss = 39768250724416344.00000000
Iteration 162, loss = 39715230105521080.00000000
Iteration 163, loss = 39673741537893104.00000000
Iteration 164, loss = 39632127346218952.00000000
Iteration 165, loss = 39598454299045240.00000000
Iteration 166, loss = 39553031013055112.00000000
Iteration 167, loss = 39496114294730472.00000000
Iteration 168, loss = 39463764034334864.00000000
Iteration 169, loss = 39409561514176344.00000000
Iteration 170, loss = 39372208692676064.00000000
Iteration 171, loss = 39329118494357480.00000000
Iteration 172, loss = 39288063215726944.00000000
Iteration 173, loss = 39244329457261024.00000000
Iteration 174, loss = 39196325998245064.00000000
Iteration 175, loss = 39144696317584560.00000000
Iteration 176, loss = 39123660091907456.00000000
Iteration 177, loss = 39067660193348216.00000000
Iteration 178, loss = 39010392324821560.00000000
Iteration 179, loss = 38952829456282928.00000000
Iteration 180, loss = 38922165603693416.00000000
Iteration 181, loss = 38859473939039144.00000000
Iteration 182, loss = 38819481537639200.00000000
Iteration 183, loss = 38770611526336136.00000000
Iteration 184, loss = 38710415578797880.00000000
Iteration 185, loss = 38670102298245856.00000000
Iteration 186, loss = 38623553445747688.00000000
Iteration 187, loss = 38616812493135928.00000000
Iteration 188, loss = 38547454800465536.00000000
Iteration 189, loss = 38481177766508048.00000000
Iteration 190, loss = 38443082379775856.00000000
Iteration 191, loss = 38405059796241584.00000000
Iteration 192, loss = 38349850131462488.00000000
Iteration 193, loss = 38294514919991320.00000000
Iteration 194, loss = 38234080053110384.00000000
Iteration 195, loss = 38195935542790800.00000000
Iteration 196, loss = 38144375547540368.00000000
Iteration 197, loss = 38091512230825128.00000000
Iteration 198, loss = 38049015992335168.00000000
Iteration 199, loss = 38011054593879368.00000000
Iteration 200, loss = 37943711189609208.00000000
Iteration 201, loss = 37930191565887464.00000000
Iteration 202, loss = 37844770257253408.00000000
Iteration 203, loss = 37801939042840952.00000000
Iteration 204, loss = 37756216091994232.00000000
Iteration 205, loss = 37727376828077240.00000000
Iteration 206, loss = 37647348386083208.00000000
Iteration 207, loss = 37621375074315576.00000000
Iteration 208, loss = 37590209415540408.00000000
Iteration 209, loss = 37506869808754096.00000000
Iteration 210, loss = 37445037853980336.00000000
Iteration 211, loss = 37392768809833072.00000000
Iteration 212, loss = 37351314479801168.00000000
Iteration 213, loss = 37315766792327616.00000000
Iteration 214, loss = 37255994778929064.00000000
Iteration 215, loss = 37198627489466832.00000000
Iteration 216, loss = 37136685164702584.00000000
Iteration 217, loss = 37079291224235520.00000000
Iteration 218, loss = 37031939073202536.00000000
Iteration 219, loss = 36987969571896312.00000000
Iteration 220, loss = 36930724758783952.00000000
Iteration 221, loss = 36890667177366616.00000000
Iteration 222, loss = 36835299774364288.00000000
Iteration 223, loss = 36768763396575904.00000000
Iteration 224, loss = 36714438534957064.00000000
Iteration 225, loss = 36666253432294616.00000000
Iteration 226, loss = 36620905706411352.00000000
Iteration 227, loss = 36565380967114072.00000000
Iteration 228, loss = 36508641660787888.00000000
Iteration 229, loss = 36470523067805856.00000000
Iteration 230, loss = 36413410876169904.00000000
Iteration 231, loss = 36380262522649808.00000000
Iteration 232, loss = 36320583293870192.00000000
Iteration 233, loss = 36256589771562568.00000000
Iteration 234, loss = 36190892590165280.00000000
Iteration 235, loss = 36148158910493112.00000000
Iteration 236, loss = 36088109307625888.00000000
Iteration 237, loss = 36029952111996992.00000000
Iteration 238, loss = 35970627198887252.00000000
Iteration 239, loss = 35945552001897028.00000000
Iteration 240, loss = 35886155653907116.00000000
Iteration 241, loss = 35814926203491652.00000000
Iteration 242, loss = 35772411439127268.00000000
Iteration 243, loss = 35704465915313176.00000000
Iteration 244, loss = 35674770074579504.00000000
Iteration 245, loss = 35603541196322608.00000000
Iteration 246, loss = 35550338088827468.00000000
Iteration 247, loss = 35488486229269168.00000000
Iteration 248, loss = 35442929355135492.00000000
Iteration 249, loss = 35388687086352512.00000000
Iteration 250, loss = 35314360423897316.00000000
Iteration 251, loss = 35288783454321700.00000000
Iteration 252, loss = 35210793907597804.00000000
Iteration 253, loss = 35165541002701792.00000000
Iteration 254, loss = 35106501162989880.00000000
Iteration 255, loss = 35042577737020180.00000000
Iteration 256, loss = 35005362051867412.00000000
Iteration 257, loss = 34948422218978656.00000000
Iteration 258, loss = 34881753072798332.00000000
Iteration 259, loss = 34836240854579964.00000000
Iteration 260, loss = 34754801723370804.00000000
Iteration 261, loss = 34711157964553804.00000000
Iteration 262, loss = 34665837354368824.00000000
Iteration 263, loss = 34594908011923236.00000000
Iteration 264, loss = 34546236009653324.00000000
Iteration 265, loss = 34490882467783056.00000000
Iteration 266, loss = 34431349138868132.00000000
Iteration 267, loss = 34424006031769344.00000000
Iteration 268, loss = 34347020038181968.00000000
Iteration 269, loss = 34227196055908652.00000000
Iteration 270, loss = 34185597777624088.00000000
Iteration 271, loss = 34100924071694696.00000000
Iteration 272, loss = 34035065836723752.00000000
Iteration 273, loss = 33967873937394416.00000000
Iteration 274, loss = 33935669290857424.00000000
Iteration 275, loss = 33823056772788172.00000000
Iteration 276, loss = 33769288338300776.00000000
Iteration 277, loss = 33724907279109192.00000000
Iteration 278, loss = 33643792119113476.00000000
Iteration 279, loss = 33611597505176848.00000000
Iteration 280, loss = 33526960641703588.00000000
Iteration 281, loss = 33449098517319852.00000000
Iteration 282, loss = 33431957789086488.00000000
Iteration 283, loss = 33347434034281852.00000000
Iteration 284, loss = 33275333596253108.00000000
Iteration 285, loss = 33198362493640540.00000000
Iteration 286, loss = 33141910119484268.00000000
Iteration 287, loss = 33084172349956008.00000000
Iteration 288, loss = 33031051440381916.00000000
Iteration 289, loss = 32962530281128184.00000000
Iteration 290, loss = 32947578890829096.00000000
Iteration 291, loss = 32852144652368796.00000000
Iteration 292, loss = 32782881462768556.00000000
Iteration 293, loss = 32724846002494984.00000000
Iteration 294, loss = 32691730526472932.00000000
Iteration 295, loss = 32607883405458048.00000000
Iteration 296, loss = 32532045516906176.00000000
Iteration 297, loss = 32472019233370556.00000000
Iteration 298, loss = 32405171014423608.00000000
Iteration 299, loss = 32359001426758308.00000000
Iteration 300, loss = 32320597919423684.00000000
Iteration 301, loss = 32254457307822844.00000000
Iteration 302, loss = 32169684828575292.00000000
Iteration 303, loss = 32096892822976768.00000000
Iteration 304, loss = 32045308232982504.00000000
Iteration 305, loss = 31987564468657572.00000000
Iteration 306, loss = 31938756484601048.00000000
Iteration 307, loss = 31858886836574848.00000000
Iteration 308, loss = 31830055861136272.00000000
Iteration 309, loss = 31755073490405492.00000000
Iteration 310, loss = 31693381388728796.00000000
Iteration 311, loss = 31622607732256900.00000000
Iteration 312, loss = 31548905983242660.00000000
Iteration 313, loss = 31521365404577864.00000000
Iteration 314, loss = 31419773572034488.00000000
Iteration 315, loss = 31374554089045840.00000000
Iteration 316, loss = 31292068780829796.00000000
Iteration 317, loss = 31228069941240536.00000000
Iteration 318, loss = 31166685364100192.00000000
Iteration 319, loss = 31097145642449976.00000000
Iteration 320, loss = 31023540865298492.00000000
Iteration 321, loss = 30988733187623128.00000000
Iteration 322, loss = 30919345801589428.00000000
Iteration 323, loss = 30884044836860772.00000000
Iteration 324, loss = 30812421690030880.00000000
Iteration 325, loss = 30722522789581192.00000000
Iteration 326, loss = 30645363809449160.00000000
Iteration 327, loss = 30602527410950932.00000000
Iteration 328, loss = 30524871675510192.00000000
Iteration 329, loss = 30453996288710032.00000000
Iteration 330, loss = 30440195958117724.00000000
Iteration 331, loss = 30338597704422760.00000000
Iteration 332, loss = 30276405084223224.00000000
Iteration 333, loss = 30195201675465592.00000000
Iteration 334, loss = 30158743755486224.00000000
Iteration 335, loss = 30106884078717116.00000000
Iteration 336, loss = 30011820772266148.00000000
Iteration 337, loss = 29958224304140164.00000000
Iteration 338, loss = 29886766450677812.00000000
Iteration 339, loss = 29820381864801596.00000000
Iteration 340, loss = 29749680663540284.00000000
Iteration 341, loss = 29698166368827272.00000000
Iteration 342, loss = 29649662559003220.00000000
Iteration 343, loss = 29551420729837240.00000000
Iteration 344, loss = 29503497423741940.00000000
Iteration 345, loss = 29427426499752032.00000000
Iteration 346, loss = 29380473189932336.00000000
Iteration 347, loss = 29327884879060240.00000000
Iteration 348, loss = 29246083286770344.00000000
Iteration 349, loss = 29169899256484604.00000000
Iteration 350, loss = 29112215651736548.00000000
Iteration 351, loss = 29035255983404664.00000000
Iteration 352, loss = 28982156755609120.00000000
Iteration 353, loss = 28900122879402248.00000000
Iteration 354, loss = 28836101732932744.00000000
Iteration 355, loss = 28766547535229672.00000000
Iteration 356, loss = 28725224004218104.00000000
Iteration 357, loss = 28655767726230476.00000000
Iteration 358, loss = 28558571650803324.00000000
Iteration 359, loss = 28509490640788116.00000000
Iteration 360, loss = 28444504746773316.00000000
Iteration 361, loss = 28376713766130484.00000000
Iteration 362, loss = 28319981979990268.00000000
Iteration 363, loss = 28271216850870300.00000000
Iteration 364, loss = 28293416271564096.00000000
Iteration 365, loss = 28138887565577952.00000000
Iteration 366, loss = 28082924417341140.00000000
Iteration 367, loss = 27964123608328276.00000000
Iteration 368, loss = 27954474421660944.00000000
Iteration 369, loss = 27848133513799652.00000000
Iteration 370, loss = 27809240591525836.00000000
Iteration 371, loss = 27752067874167536.00000000
Iteration 372, loss = 27671570686047840.00000000
Iteration 373, loss = 27608450202516044.00000000
Iteration 374, loss = 27572919967324168.00000000
Iteration 375, loss = 27543703602653636.00000000
Iteration 376, loss = 27416677432062480.00000000
Iteration 377, loss = 27366999446420580.00000000
Iteration 378, loss = 27286434372659664.00000000
Iteration 379, loss = 27235804560258080.00000000
Iteration 380, loss = 27197606230680716.00000000
Iteration 381, loss = 27156263262157920.00000000
Iteration 382, loss = 27060173323386196.00000000
Iteration 383, loss = 27017779251578004.00000000
Iteration 384, loss = 26927367921774592.00000000
Iteration 385, loss = 26866915763748248.00000000
Iteration 386, loss = 26806321397549108.00000000
Iteration 387, loss = 26777628118109716.00000000
Iteration 388, loss = 26690672282580724.00000000
Iteration 389, loss = 26636192423774388.00000000
Iteration 390, loss = 26551725828981984.00000000
Iteration 391, loss = 26491345691851972.00000000
Iteration 392, loss = 26452287398957908.00000000
Iteration 393, loss = 26420161895452428.00000000
Iteration 394, loss = 26350655308626224.00000000
Iteration 395, loss = 26272389267105376.00000000
Iteration 396, loss = 26258982648335548.00000000
Iteration 397, loss = 26140925348699896.00000000
Iteration 398, loss = 26100907475804936.00000000
Iteration 399, loss = 26036208797899424.00000000
Iteration 400, loss = 25998812014186740.00000000
Iteration 401, loss = 25935791878153512.00000000
Iteration 402, loss = 25881040932363748.00000000
Iteration 403, loss = 25823499447858320.00000000
Iteration 404, loss = 25730893192836344.00000000
Iteration 405, loss = 25735106006415732.00000000
Iteration 406, loss = 25617099433659096.00000000
Iteration 407, loss = 25604644061017700.00000000
Iteration 408, loss = 25498760723380752.00000000
Iteration 409, loss = 25463693456778460.00000000
Iteration 410, loss = 25400136144412496.00000000
Iteration 411, loss = 25386418457866880.00000000
Iteration 412, loss = 25314250878237200.00000000
Iteration 413, loss = 25260772571846368.00000000
Iteration 414, loss = 25256878952248680.00000000
Iteration 415, loss = 25157798662895900.00000000
Iteration 416, loss = 25157831677190648.00000000
Iteration 417, loss = 25039999174229964.00000000
Iteration 418, loss = 25042970893232088.00000000
Iteration 419, loss = 24952083073018864.00000000
Iteration 420, loss = 24922557714063804.00000000
Iteration 421, loss = 24842963080583840.00000000
Iteration 422, loss = 24835969131159012.00000000
Iteration 423, loss = 24766988106229756.00000000
Iteration 424, loss = 24680763780992792.00000000
Iteration 425, loss = 24707090189568796.00000000
Iteration 426, loss = 24581025394410268.00000000
Iteration 427, loss = 24532918160996996.00000000
Iteration 428, loss = 24524752566460240.00000000
Iteration 429, loss = 24470805645573752.00000000
Iteration 430, loss = 24416441583395216.00000000
Iteration 431, loss = 24320692565623796.00000000
Iteration 432, loss = 24278551335013580.00000000
Iteration 433, loss = 24217806393439888.00000000
Iteration 434, loss = 24147110990368928.00000000
Iteration 435, loss = 24107996326151596.00000000
Iteration 436, loss = 24073531893643808.00000000
Iteration 437, loss = 24017446284250692.00000000
Iteration 438, loss = 24019122809952176.00000000
Iteration 439, loss = 23926205220976624.00000000
Iteration 440, loss = 23901132177901768.00000000
Iteration 441, loss = 23787509731426824.00000000
Iteration 442, loss = 23734304885352152.00000000
Iteration 443, loss = 23700828124439520.00000000
Iteration 444, loss = 23657298396316580.00000000
Iteration 445, loss = 23664990575231160.00000000
Iteration 446, loss = 23551726873405944.00000000
Iteration 447, loss = 23528520323891448.00000000
Iteration 448, loss = 23400934472328856.00000000
Iteration 449, loss = 23383444918610028.00000000
Iteration 450, loss = 23354267251932968.00000000
Iteration 451, loss = 23293225878878044.00000000
Iteration 452, loss = 23206030547378692.00000000
Iteration 453, loss = 23179657029639608.00000000
Iteration 454, loss = 23105970932429156.00000000
Iteration 455, loss = 23035855508643912.00000000
Iteration 456, loss = 23019830793777752.00000000
Iteration 457, loss = 22988864635257368.00000000
Iteration 458, loss = 22909755532549912.00000000
Iteration 459, loss = 22817782416607528.00000000
Iteration 460, loss = 22772023940797520.00000000
Iteration 461, loss = 22730019269851324.00000000
Iteration 462, loss = 22722477802218856.00000000
Iteration 463, loss = 22661273011837488.00000000
Iteration 464, loss = 22545906973521408.00000000
Iteration 465, loss = 22473490079881860.00000000
Iteration 466, loss = 22465017617031584.00000000
Iteration 467, loss = 22379131275556848.00000000
Iteration 468, loss = 22345853579653724.00000000
Iteration 469, loss = 22269019352968476.00000000
Iteration 470, loss = 22221559066538472.00000000
Iteration 471, loss = 22198234757659716.00000000
Iteration 472, loss = 22071940064002068.00000000
Iteration 473, loss = 22003886153994672.00000000
Iteration 474, loss = 21938339146644284.00000000
Iteration 475, loss = 21903981916831388.00000000
Iteration 476, loss = 21836077657875420.00000000
Iteration 477, loss = 21782064400997744.00000000
Iteration 478, loss = 21756420507609216.00000000
Iteration 479, loss = 21677098567190244.00000000
Iteration 480, loss = 21594060669556028.00000000
Iteration 481, loss = 21614821003620088.00000000
Iteration 482, loss = 21524656295039556.00000000
Iteration 483, loss = 21439435332008500.00000000
Iteration 484, loss = 21344551676330328.00000000
Iteration 485, loss = 21320743346495996.00000000
Iteration 486, loss = 21225108340854484.00000000
Iteration 487, loss = 21204623929378920.00000000
Iteration 488, loss = 21152850808478040.00000000
Iteration 489, loss = 21077403631993548.00000000
Iteration 490, loss = 21006721168150712.00000000
Iteration 491, loss = 20951927568767672.00000000
Iteration 492, loss = 20934734760342540.00000000
Iteration 493, loss = 20859302033672128.00000000
Iteration 494, loss = 20796459270953888.00000000
Iteration 495, loss = 20731670039042808.00000000
Iteration 496, loss = 20678104491211076.00000000
Iteration 497, loss = 20681482392151236.00000000
Iteration 498, loss = 20584574340166368.00000000
Iteration 499, loss = 20473365982641504.00000000
Iteration 500, loss = 20488241060420548.00000000
Iteration 501, loss = 20422322303526864.00000000
Iteration 502, loss = 20346184877219520.00000000
Iteration 503, loss = 20282918956229668.00000000
Iteration 504, loss = 20266443636744188.00000000
Iteration 505, loss = 20237736768565476.00000000
Iteration 506, loss = 20210390154895740.00000000
Iteration 507, loss = 20084366724607992.00000000
Iteration 508, loss = 20011782392901664.00000000
Iteration 509, loss = 20043549867797812.00000000
Iteration 510, loss = 20015635505791008.00000000
Iteration 511, loss = 19874953131308424.00000000
Iteration 512, loss = 19854790839442320.00000000
Iteration 513, loss = 19805498132384984.00000000
Iteration 514, loss = 19728880301615184.00000000
Iteration 515, loss = 19675406810952832.00000000
Iteration 516, loss = 19663126319092536.00000000
Iteration 517, loss = 19633417751640980.00000000
Iteration 518, loss = 19524659545248944.00000000
Iteration 519, loss = 19503023413022716.00000000
Iteration 520, loss = 19447660705985272.00000000
Iteration 521, loss = 19430444726161560.00000000
Iteration 522, loss = 19369342339058896.00000000
Iteration 523, loss = 19313584592457960.00000000
Iteration 524, loss = 19326446665418592.00000000
Iteration 525, loss = 19233716432509396.00000000
Iteration 526, loss = 19152062144793360.00000000
Iteration 527, loss = 19125441130169168.00000000
Iteration 528, loss = 19071537276738328.00000000
Iteration 529, loss = 19018592093985152.00000000
Iteration 530, loss = 19050998536671836.00000000
Iteration 531, loss = 18993393911872332.00000000
Iteration 532, loss = 18970891982258644.00000000
Iteration 533, loss = 18854530937023228.00000000
Iteration 534, loss = 18822553474134220.00000000
Iteration 535, loss = 18758943000656876.00000000
Iteration 536, loss = 18716960201107416.00000000
Iteration 537, loss = 18686376210315516.00000000
Iteration 538, loss = 18635044195807700.00000000
Iteration 539, loss = 18585382941445924.00000000
Iteration 540, loss = 18573734906684876.00000000
Iteration 541, loss = 18567491036856492.00000000
Iteration 542, loss = 18496364046058656.00000000
Iteration 543, loss = 18419115813077952.00000000
Iteration 544, loss = 18402970142593012.00000000
Iteration 545, loss = 18347304152053672.00000000
Iteration 546, loss = 18260837516449508.00000000
Iteration 547, loss = 18242519446019172.00000000
Iteration 548, loss = 18224612081374932.00000000
Iteration 549, loss = 18147169224671112.00000000
Iteration 550, loss = 18136365786436848.00000000
Iteration 551, loss = 18070832562648156.00000000
Iteration 552, loss = 18011976750460216.00000000
Iteration 553, loss = 18054727658652000.00000000
Iteration 554, loss = 17937257228141324.00000000
Iteration 555, loss = 17884463852516752.00000000
Iteration 556, loss = 17906452143711484.00000000
Iteration 557, loss = 17796591095158222.00000000
Iteration 558, loss = 17798622628718920.00000000
Iteration 559, loss = 17766273935095958.00000000
Iteration 560, loss = 17715550547082814.00000000
Iteration 561, loss = 17658284106757364.00000000
Iteration 562, loss = 17720549413240038.00000000
Iteration 563, loss = 17607088136471334.00000000
Iteration 564, loss = 17562470158327770.00000000
Iteration 565, loss = 17472149113711224.00000000
Iteration 566, loss = 17440707806316786.00000000
Iteration 567, loss = 17452136044208258.00000000
Iteration 568, loss = 17388196190279570.00000000
Iteration 569, loss = 17333974077781222.00000000
Iteration 570, loss = 17316336389797110.00000000
Iteration 571, loss = 17328071793738862.00000000
Iteration 572, loss = 17227769927112784.00000000
Iteration 573, loss = 17227288455012508.00000000
Iteration 574, loss = 17145140450887922.00000000
Iteration 575, loss = 17132622825862148.00000000
Iteration 576, loss = 17089964181269546.00000000
Iteration 577, loss = 16990408445989482.00000000
Iteration 578, loss = 16944908626312430.00000000
Iteration 579, loss = 16963593016237134.00000000
Iteration 580, loss = 16918577144850520.00000000
Iteration 581, loss = 16869367480238426.00000000
Iteration 582, loss = 16791367236045838.00000000
Iteration 583, loss = 16778408933090034.00000000
Iteration 584, loss = 16783815043017830.00000000
Iteration 585, loss = 16694140143722242.00000000
Iteration 586, loss = 16675466903620068.00000000
Iteration 587, loss = 16641588472906748.00000000
Iteration 588, loss = 16566939410982208.00000000
Iteration 589, loss = 16557679239143430.00000000
Iteration 590, loss = 16509089897096584.00000000
Iteration 591, loss = 16532395594570014.00000000
Iteration 592, loss = 16428839320690206.00000000
Iteration 593, loss = 16428096077898918.00000000
Iteration 594, loss = 16346897559609838.00000000
Iteration 595, loss = 16312354613951876.00000000
Iteration 596, loss = 16291906107689448.00000000
Iteration 597, loss = 16207576971229580.00000000
Iteration 598, loss = 16197191716917120.00000000
Iteration 599, loss = 16175051000005878.00000000
Iteration 600, loss = 16152789915625144.00000000
Iteration 601, loss = 16088379001542500.00000000
Iteration 602, loss = 16103292726248514.00000000
Iteration 603, loss = 16092753043571794.00000000
Iteration 604, loss = 16093001100004690.00000000
Iteration 605, loss = 16018195693263800.00000000
Iteration 606, loss = 15953114689667862.00000000
Iteration 607, loss = 15924732414832836.00000000
Iteration 608, loss = 15941295412238416.00000000
Iteration 609, loss = 15856329942792958.00000000
Iteration 610, loss = 15810403671776278.00000000
Iteration 611, loss = 15778802722587482.00000000
Iteration 612, loss = 15715937138110272.00000000
Iteration 613, loss = 15672508988145138.00000000
Iteration 614, loss = 15715487424204316.00000000
Iteration 615, loss = 15672371801126938.00000000
Iteration 616, loss = 15575665737841958.00000000
Iteration 617, loss = 15555377862993204.00000000
Iteration 618, loss = 15532237204672384.00000000
Iteration 619, loss = 15529377222042756.00000000
Iteration 620, loss = 15448156896580926.00000000
Iteration 621, loss = 15417835697163700.00000000
Iteration 622, loss = 15408084420102156.00000000
Iteration 623, loss = 15359125883720006.00000000
Iteration 624, loss = 15323120860029220.00000000
Iteration 625, loss = 15350327346352902.00000000
Iteration 626, loss = 15300071833457798.00000000
Iteration 627, loss = 15262350518236812.00000000
Iteration 628, loss = 15235267398507170.00000000
Iteration 629, loss = 15144681565746976.00000000
Iteration 630, loss = 15102147228264492.00000000
Iteration 631, loss = 15104589292602082.00000000
